"id_realty_input","realty_type","realty_condition","realty_value","realty_cond","realty_iptu","realty_area","realty_rooms","realty_baths","realty_parking","total_cost","value_area"
"193597","Apartamento Padrão","alugar",3500,663.68,244.2,70,2,2,1,4407.88,62.9697142857143
"207464","Apartamento Padrão","alugar",3500,892.24,157.46,35,1,1,NA,4549.7,129.991428571429
"218245","Apartamento Padrão","alugar",4500,780,350,101,3,2,2,5630,55.7425742574257
"224469","Apartamento Flat","alugar",3300,540,82.58,33,1,1,1,3922.58,118.866060606061
"225872","Apartamento Padrão","alugar",2500,1050,80,72,3,1,1,3630,50.4166666666667
"153170","Apartamento Padrão","alugar",2700,1418,411.47,76,2,1,2,4529.47,59.5982894736842
"207335","Apartamento Padrão","alugar",3000,532,NA,69,2,1,NA,NA,NA
"173874","Apartamento Padrão","alugar",6200,946.33,513.04,109,3,2,2,7659.37,70.2694495412844
"75187","Apartamento Padrão","alugar",4000,1090.6,395.82,85,2,2,2,5486.42,64.5461176470588
"189536","Apartamento Padrão","alugar",3100,873.64,165.66,90,2,1,1,4139.3,45.9922222222222
"222674","Apartamento Padrão","alugar",2400,1200,280,60,1,1,1,3880,64.6666666666667
"125788","Apartamento Padrão","alugar",8500,1475,557,134,2,2,2,10532,78.5970149253731
"150551","Apartamento Padrão","alugar",3850,2150,167.27,120,3,2,2,6167.27,51.3939166666667
"187747","Apartamento Padrão","alugar",3700,900.76,318.21,96,3,2,2,4918.97,51.2392708333333
"224290","Apartamento Padrão","alugar",3200,1150,85,80,2,1,1,4435,55.4375
"219798","Apartamento Padrão","alugar",4200,647.14,226.88,55,2,2,1,5074.02,92.2549090909091
"175042","Casa sobrado","alugar",5000,NA,770,250,3,3,4,NA,NA
"211869","Apartamento Padrão","alugar",2990,502,100,48,2,1,1,3592,74.8333333333333
"221871","Apartamento Padrão","alugar",4000,1245,323.86,85,3,2,2,5568.86,65.516
"223029","Apartamento Padrão","alugar",3600,850,261.71,49,1,1,1,4711.71,96.1573469387755
"143205","Apartamento Padrão","alugar",5000,1929,459,90,3,2,2,7388,82.0888888888889
"186962","Apartamento Padrão","alugar",12000,900,421.99,125,3,2,2,13321.99,106.57592
"220261","Apartamento Padrão","alugar",3000,640,204.17,45,1,1,1,3844.17,85.426
"147401","Apartamento Padrão","alugar",3000,832,303.48,7559,2,2,2,4135.48,0.547093530890329
"225208","Apartamento Studio","alugar",2500,700,39,32,1,1,NA,3239,101.21875
"203751","Casa sobrado","alugar",4500,NA,450.56,221,3,2,2,NA,NA
"210765","Casa sobrado","alugar",4900,NA,619.65,140,3,2,2,NA,NA
"214828","Apartamento Padrão","alugar",4800,1200,620,115,3,2,2,6620,57.5652173913044
"218673","Apartamento Padrão","alugar",2000,491,NA,48,1,1,NA,NA,NA
"216701","Apartamento Padrão","alugar",3300,900,NA,783,3,2,1,NA,NA
"61198","Apartamento Padrão","alugar",3700,553,186.77,44,1,1,1,4439.77,100.903863636364
"221690","Apartamento Padrão","alugar",5500,860.05,251.91,120,4,2,1,6611.96,55.0996666666667
"223427","Apartamento Padrão","alugar",3500,1530,489,117,3,2,1,5519,47.1709401709402
"139400","Apartamento Padrão","alugar",4200,1038.81,402.66,100,3,2,2,5641.47,56.4147
"224637","Apartamento Padrão","alugar",2200,372,NA,40,1,1,NA,NA,NA
"205463","Apartamento Padrão","alugar",2500,1105.86,161.75,65,2,1,1,3767.61,57.9632307692308
"19996","Apartamento Padrão","alugar",2500,1000,181.2,100,3,1,1,3681.2,36.812
"145281","Apartamento Padrão","alugar",2100,750,117.61,35,1,1,1,2967.61,84.7888571428571
"223686","Apartamento Duplex","alugar",2100,679,192.31,44,1,1,1,2971.31,67.5297727272727
"189224","Apartamento Studio","alugar",1350,256.38,NA,33,1,1,NA,NA,NA
"208708","Apartamento Loft","alugar",2500,NA,30,40,1,1,NA,NA,NA
"8053","Apartamento Padrão","alugar",3650,885,276.16,72,2,2,2,4811.16,66.8216666666667
"224426","Apartamento Padrão","alugar",3500,485,194.4,50,1,1,1,4179.4,83.588
"143720","Apartamento Padrão","alugar",3500,880,12,75,3,1,1,4392,58.56
"221282","Apartamento Padrão","alugar",2100,691,68,41,1,2,1,2859,69.7317073170732
"211878","Apartamento Padrão","alugar",1000,792.17,NA,40,1,1,1,NA,NA
"213426","Apartamento Studio","alugar",2800,701,70,32,1,1,1,3571,111.59375
"225268","Apartamento Padrão","alugar",3300,850,126.17,62,2,2,1,4276.17,68.9704838709677
"213901","Apartamento Padrão","alugar",2000,609,50.13,45,1,1,1,2659.13,59.0917777777778
"222543","Apartamento Padrão","alugar",4000,790,1,57,2,2,1,4791,84.0526315789474
"222544","Apartamento Padrão","alugar",4000,790,1,52,2,2,1,4791,92.1346153846154
"77584","Casa sobrado","alugar",4600,NA,307.05,136,3,3,2,NA,NA
"179016","Apartamento Padrão","alugar",1500,597.69,NA,60,2,1,NA,NA,NA
"221399","Casa de vila - sobrado","alugar",2300,NA,132.01,100,2,2,NA,NA,NA
"224925","Apartamento Padrão","alugar",2000,700,NA,44,1,1,1,NA,NA
"225703","Apartamento Padrão","alugar",2800,700,51.42,94,3,2,1,3551.42,37.7810638297872
"223709","Apartamento Padrão","alugar",2000,720,228.38,48,1,1,1,2948.38,61.4245833333333
